MONTH,AIRLINE,PERIOD_OF_DAY,total_voos,total_atrasados
11,DL,Noite,14415,2081
11,DL,Tarde,27338,3251
11,EV,Madrugada,173,34
11,EV,Manhã,16738,1699
11,EV,Noite,7603,1607
11,EV,Tarde,17275,2897
11,F9,Madrugada,365,93
11,F9,Manhã,2731,444
11,F9,Noite,2062,514
11,F9,Tarde,2569,550
11,HA,Madrugada,47,8
11,HA,Manhã,2486,68
11,HA,Noite,1103,55
11,HA,Tarde,2383,119
11,MQ,Madrugada,25,3
11,MQ,Manhã,7687,847
11,MQ,Noite,4196,645
11,MQ,Tarde,7492,1042
11,NK,Madrugada,476,100
11,NK,Manhã,3954,571
11,NK,Noite,2622,683
11,NK,Tarde,3007,639
11,OO,Madrugada,186,33
11,OO,Manhã,18780,2198
11,OO,Noite,9091,1281
11,OO,Tarde,18528,2977
11,UA,Madrugada,865,138
11,UA,Manhã,18089,2301
11,UA,Noite,8032,1768
11,UA,Tarde,15354,2984
11,VX,Madrugada,153,9
11,VX,Manhã,2211,228
11,VX,Noite,987,173
11,VX,Tarde,2006,339
11,WN,Madrugada,120,31
11,WN,Manhã,41997,3414
11,WN,Noite,24434,6321
11,WN,Tarde,36524,7772
12,AA,Madrugada,1621,318
12,AA,Manhã,31588,3598
12,AA,Noite,15300,3496
12,AA,Tarde,26775,5212
12,AS,Madrugada,640,63
12,AS,Manhã,5888,435
12,AS,Noite,3315,540
12,AS,Tarde,4523,542
12,B6,Madrugada,788,312
12,B6,Manhã,9137,1330
12,B6,Noite,5913,2532
12,B6,Tarde,7439,2502
12,DL,Madrugada,1090,185
12,DL,Manhã,29114,3676
12,DL,Noite,13649,2762
12,DL,Tarde,26601,4944
12,EV,Madrugada,130,30
12,EV,Manhã,17413,2485
12,EV,Noite,7557,1531
12,EV,Tarde,17523,3385
12,F9,Madrugada,366,121
12,F9,Manhã,2775,472
12,F9,Noite,2251,668
12,F9,Tarde,2643,686
12,HA,Madrugada,81,5
12,HA,Manhã,2587,90
12,HA,Noite,1099,51
12,HA,Tarde,2488,136
12,MQ,Madrugada,30,5
12,MQ,Manhã,7981,1001
12,MQ,Noite,4460,628
12,MQ,Tarde,7717,1275
12,NK,Madrugada,532,148
12,NK,Manhã,4015,734
12,NK,Noite,2779,997
12,NK,Tarde,3163,928
12,OO,Madrugada,186,44
12,OO,Manhã,18897,3116
12,OO,Noite,8928,1993
12,OO,Tarde,18184,4386
12,UA,Madrugada,1221,340
12,UA,Manhã,18133,3195
12,UA,Noite,7940,2445
12,UA,Tarde,15363,4061
12,VX,Madrugada,173,39
12,VX,Manhã,2248,415
12,VX,Noite,956,389
12,VX,Tarde,2113,652
12,WN,Madrugada,50,29
12,WN,Manhã,43289,5346
12,WN,Noite,24523,8751
12,WN,Tarde,37992,11400
