MONTH,AIRLINE,ORIGIN_AIRPORT,total_voos,total_atrasados,soma_delay
1,EV,MLU,224,36,1645.0
1,EV,MOB,353,48,1774.0
1,EV,MOT,60,5,494.0
1,EV,MSN,196,44,1684.0
1,EV,MSP,775,177,11455.0
1,EV,MSY,42,4,82.0
1,EV,MTJ,53,1,-469.0
1,EV,MYR,82,11,454.0
1,EV,OAJ,110,14,585.0
1,EV,OKC,185,21,527.0
1,EV,OMA,272,47,1920.0
1,EV,ORD,3664,927,52198.0
1,EV,ORF,177,30,1681.0
1,EV,PBI,11,3,28.0
1,EV,PHF,136,17,859.0
1,EV,PHL,30,7,297.0
1,EV,PHX,1,0,13.0
1,EV,PIA,145,23,1815.0
1,EV,PIB,53,8,704.0
1,EV,PIT,210,37,2695.0
1,EV,PNS,120,14,568.0
1,EV,PVD,226,40,1383.0
1,EV,PWM,11,4,334.0
1,EV,RAP,56,10,540.0
1,EV,RDU,213,36,2390.0
1,EV,RIC,417,92,6515.0
1,EV,ROA,109,16,820.0
1,EV,ROC,127,30,2056.0
1,EV,RST,59,11,451.0
1,EV,SAF,31,6,197.0
1,EV,SAT,111,19,1355.0
1,EV,SAV,193,47,2623.0
1,EV,SBN,110,27,2180.0
1,EV,SCE,63,18,1669.0
1,EV,SDF,215,37,1292.0
1,EV,SGF,143,17,516.0
1,EV,SHV,431,87,5238.0
1,EV,SJT,28,1,-68.0
1,EV,SLC,15,10,742.0
1,EV,SPS,11,4,142.0
1,EV,STL,284,42,1560.0
1,EV,SYR,64,5,12.0
1,EV,TLH,83,18,1388.0
1,EV,TRI,113,13,441.0
1,EV,TUL,371,27,-116.0
1,EV,TUS,101,19,881.0
1,EV,TVC,93,19,1542.0
1,EV,TYR,102,11,594.0
1,EV,TYS,352,69,4996.0
1,EV,VLD,85,9,464.0
1,EV,VPS,105,16,877.0
1,EV,XNA,256,44,1682.0
1,F9,ATL,184,70,4120.0
1,F9,AUS,53,18,804.0
1,F9,BIS,2,1,83.0
1,F9,BMI,12,7,380.0
1,F9,BNA,33,7,216.0
1,F9,BZN,19,1,59.0
1,F9,CID,2,1,142.0
1,F9,CLE,284,74,5545.0
1,F9,CLT,19,8,277.0
1,F9,CVG,120,17,1469.0
1,F9,DCA,91,22,1460.0
1,F9,DEN,1933,412,19144.0
1,F9,DFW,136,28,1507.0
1,F9,DSM,13,2,66.0
1,F9,DTW,23,14,1097.0
1,F9,FAR,14,5,377.0
1,F9,FAT,2,1,38.0
1,F9,FLL,103,31,1875.0
1,F9,FSD,25,7,407.0
1,F9,GEG,5,1,220.0
1,F9,GSO,2,1,39.0
1,F9,IAD,224,66,4963.0
1,F9,IAH,115,25,1578.0
1,F9,IDA,2,0,9.0
1,F9,ILG,26,7,688.0
1,F9,IND,38,5,666.0
1,F9,LAS,227,52,3907.0
1,F9,LAX,86,12,635.0
1,F9,LGA,58,32,2130.0
1,F9,MCI,39,10,911.0
1,F9,MCO,428,158,12027.0
1,F9,MDT,24,2,49.0
1,F9,MDW,20,8,464.0
1,F9,MEM,25,6,282.0
1,F9,MIA,173,88,6900.0
1,F9,MKE,80,26,1914.0
1,F9,MOT,3,1,12.0
1,F9,MSN,27,2,3.0
1,F9,MSO,3,0,-8.0
1,F9,MSP,71,19,1225.0
1,F9,MSY,33,11,576.0
1,F9,OKC,25,4,102.0
1,F9,OMA,39,3,60.0
1,F9,ORD,280,101,9245.0
1,F9,PBI,48,17,986.0
1,F9,PDX,49,12,546.0
1,F9,PHF,3,1,24.0
1,F9,PHL,114,51,5945.0
1,F9,PHX,227,63,4670.0
1,F9,PSP,4,2,28.0
1,F9,RDU,18,5,240.0
1,F9,RSW,142,34,2632.0
1,F9,SAN,73,17,390.0
1,F9,SBA,3,2,67.0
1,F9,SEA,45,12,580.0
1,F9,SFO,140,28,1194.0
1,F9,SLC,154,38,2115.0
1,F9,SNA,87,8,-65.0
1,F9,STL,91,14,1323.0
1,F9,TPA,175,73,6142.0
1,F9,TTN,227,78,5942.0
1,F9,TYS,3,1,92.0
1,F9,UST,16,5,92.0
1,HA,HNL,2803,211,928.0
1,HA,ITO,491,48,651.0
1,HA,JFK,29,3,1983.0
1,HA,KOA,641,61,917.0
1,HA,LAS,75,7,149.0
1,HA,LAX,129,11,-101.0
1,HA,LIH,646,53,-133.0
1,HA,OAK,62,4,-50.0
1,HA,OGG,1219,128,3309.0
1,HA,PDX,31,1,-51.0
1,HA,PHX,31,1,-146.0
1,HA,PPG,10,1,11.0
1,HA,SAN,31,3,59.0
1,HA,SEA,62,2,-167.0
1,HA,SFO,61,6,-38.0
1,HA,SJC,62,10,873.0
1,HA,SMF,31,3,186.0
1,MQ,ABI,225,37,1382.0
1,MQ,ABQ,27,11,1210.0
1,MQ,ACT,142,28,1113.0
1,MQ,AEX,92,18,525.0
1,MQ,ALO,49,14,839.0
1,MQ,AMA,226,55,2905.0
1,MQ,ASE,86,40,3111.0
1,MQ,ATL,119,41,3170.0
1,MQ,AZO,106,31,1348.0
1,MQ,BDL,26,9,483.0
1,MQ,BHM,91,17,425.0
1,MQ,BIS,59,14,821.0
1,MQ,BMI,131,29,1805.0
1,MQ,BNA,302,69,4564.0
1,MQ,BPT,30,13,561.0
1,MQ,BTR,145,31,1214.0
1,MQ,BUF,58,21,1170.0
1,MQ,BWI,83,38,2496.0
1,MQ,CAE,80,22,941.0
1,MQ,CHA,78,23,1141.0
1,MQ,CHO,26,8,571.0
1,MQ,CHS,123,25,1605.0
1,MQ,CID,261,86,5113.0
1,MQ,CLE,160,71,4634.0
1,MQ,CLL,142,33,1897.0
1,MQ,CMH,466,149,11283.0
1,MQ,CMI,187,45,2937.0
1,MQ,COU,120,29,1639.0
1,MQ,CRP,141,34,1412.0
1,MQ,CVG,442,119,7131.0
1,MQ,CWA,50,16,987.0
1,MQ,DAY,157,42,2420.0
1,MQ,DBQ,71,15,904.0
1,MQ,DCA,130,39,2782.0
1,MQ,DFW,6465,1711,81763.0
1,MQ,DRO,65,20,1156.0
1,MQ,DSM,255,70,4341.0
1,MQ,DTW,358,127,9131.0
1,MQ,ELP,24,9,629.0
1,MQ,EVV,135,39,2223.0
1,MQ,EYW,104,9,-124.0
1,MQ,FAR,115,29,1474.0
1,MQ,FNT,79,19,1109.0
1,MQ,FSD,81,33,1769.0
1,MQ,FSM,116,22,960.0
1,MQ,FWA,158,42,2073.0
1,MQ,GCK,60,10,449.0
1,MQ,GGG,21,4,49.0
1,MQ,GJT,59,7,127.0
1,MQ,GNV,52,4,-39.0
1,MQ,GPT,85,13,395.0
1,MQ,GRB,105,29,1633.0
1,MQ,GRI,58,10,657.0
1,MQ,GRK,236,51,1339.0
1,MQ,GRR,244,93,6027.0
1,MQ,GSO,181,44,2371.0
1,MQ,GSP,54,17,965.0
1,MQ,GUC,4,1,111.0
1,MQ,HOU,78,23,1350.0
1,MQ,HPN,75,16,1173.0
1,MQ,HSV,92,18,644.0
1,MQ,IND,145,56,3815.0
1,MQ,JAN,210,55,2433.0
1,MQ,JAX,28,10,920.0
1,MQ,JFK,460,150,8933.0
1,MQ,JLN,58,11,505.0
1,MQ,LAW,61,18,699.0
1,MQ,LAX,29,5,603.0
1,MQ,LBB,111,40,2389.0
1,MQ,LCH,29,3,190.0
1,MQ,LEX,141,33,2113.0
1,MQ,LFT,112,18,807.0
1,MQ,LGA,1132,328,15514.0
1,MQ,LIT,206,59,3768.0
1,MQ,LRD,120,19,464.0
1,MQ,LSE,94,22,1608.0
1,MQ,MAF,193,54,2974.0
1,MQ,MDT,29,11,627.0
1,MQ,MEM,136,25,1246.0
1,MQ,MGM,84,19,939.0
1,MQ,MHK,109,20,555.0
1,MQ,MIA,721,77,1740.0
1,MQ,MKE,9,4,167.0
1,MQ,MLI,128,33,1961.0
1,MQ,MLU,22,6,310.0
1,MQ,MOB,56,19,782.0
1,MQ,MQT,25,7,329.0
1,MQ,MSN,250,56,3930.0
1,MQ,MSP,54,20,1620.0
1,MQ,OKC,102,42,2970.0
1,MQ,OMA,49,15,905.0
1,MQ,ORD,5052,1934,125944.0
1,MQ,ORF,126,25,921.0
1,MQ,PIA,158,35,1707.0
1,MQ,PIT,23,9,838.0
1,MQ,PNS,241,52,2310.0
1,MQ,RAP,29,6,318.0
1,MQ,RDU,293,77,4248.0
1,MQ,RIC,74,19,1066.0
1,MQ,ROC,32,15,883.0
1,MQ,ROW,80,20,1594.0
1,MQ,RST,103,27,1962.0
1,MQ,SAF,58,14,974.0
1,MQ,SAV,89,15,668.0
1,MQ,SDF,124,45,2180.0
1,MQ,SGF,331,82,4227.0
1,MQ,SHV,90,20,1000.0
1,MQ,SJT,113,20,742.0
