MONTH,AIRLINE,STATE,total_voos,total_atrasados
2,AS,WA,3970,480
2,B6,AZ,55,25
2,B6,CA,1555,356
2,B6,CO,72,36
2,B6,CT,272,101
2,B6,FL,4651,1698
2,B6,GA,78,27
2,B6,IL,134,49
2,B6,LA,90,34
2,B6,MA,2777,899
2,B6,MD,97,30
2,B6,ME,64,11
2,B6,MI,71,18
2,B6,NC,264,88
2,B6,NJ,521,133
2,B6,NM,16,4
2,B6,NV,289,81
2,B6,NY,4351,1356
2,B6,OR,72,7
2,B6,PA,192,64
2,B6,PR,937,283
2,B6,RI,76,20
2,B6,SC,128,38
2,B6,TX,252,76
2,B6,UT,121,35
2,B6,VA,994,267
2,B6,VI,120,37
2,B6,VT,80,13
2,B6,WA,126,33
2,DL,AK,102,12
2,DL,AL,391,50
2,DL,AR,180,28
2,DL,AZ,631,68
2,DL,CA,3059,459
2,DL,CO,590,129
2,DL,CT,257,46
2,DL,FL,6145,1158
2,DL,GA,17217,3090
2,DL,HI,363,65
2,DL,IA,78,13
2,DL,ID,80,5
2,DL,IL,717,184
2,DL,IN,355,63
2,DL,KS,63,8
2,DL,KY,735,109
2,DL,LA,667,124
2,DL,MA,1033,394
2,DL,MD,482,74
2,DL,ME,25,7
2,DL,MI,3850,1005
2,DL,MN,3933,686
2,DL,MO,619,74
2,DL,MS,235,31
2,DL,MT,180,10
2,DL,NC,1047,163
2,DL,ND,69,7
2,DL,NE,166,25
2,DL,NH,28,2
2,DL,NJ,364,76
2,DL,NM,50,7
2,DL,NV,855,126
2,DL,NY,4176,1666
2,DL,OH,628,94
2,DL,OK,194,28
2,DL,OR,290,21
2,DL,PA,820,145
2,DL,PR,255,53
2,DL,RI,76,10
2,DL,SC,484,54
2,DL,SD,37,5
2,DL,TN,781,133
2,DL,TX,1407,238
2,DL,UT,2535,299
2,DL,VA,1225,202
2,DL,VI,91,20
2,DL,WA,934,129
2,DL,WI,598,105
2,DL,WV,28,9
2,DL,WY,63,6
2,EV,AL,1047,181
2,EV,AR,539,104
2,EV,AZ,72,11
2,EV,CO,1149,300
2,EV,CT,95,16
2,EV,FL,605,115
2,EV,GA,5032,1082
2,EV,IA,282,66
2,EV,IL,4032,1275
2,EV,IN,489,123
2,EV,KS,138,22
2,EV,KY,679,147
2,EV,LA,1575,238
2,EV,MA,148,46
2,EV,MD,37,8
2,EV,ME,78,14
2,EV,MI,2619,657
2,EV,MN,677,188
2,EV,MO,690,130
2,EV,MS,533,66
2,EV,NC,1242,230
2,EV,ND,271,65
2,EV,NE,321,54
2,EV,NH,75,22
2,EV,NJ,2137,486
2,EV,NM,157,23
2,EV,NY,1709,527
2,EV,OH,1431,331
2,EV,OK,541,81
2,EV,PA,653,137
2,EV,RI,103,21
2,EV,SC,637,118
2,EV,SD,234,42
2,EV,TN,1098,218
2,EV,TX,8349,1042
2,EV,VA,1746,408
2,EV,VT,87,25
2,EV,WI,703,145
2,EV,WV,126,32
2,F9,AZ,205,67
2,F9,CA,330,92
2,F9,CO,1606,378
2,F9,DE,18,7
2,F9,FL,973,453
2,F9,GA,159,64
2,F9,IA,12,4
2,F9,IL,275,137
2,F9,IN,28,2
2,F9,KY,101,29
2,F9,LA,28,10
2,F9,MI,16,10
2,F9,MN,56,12
2,F9,MO,112,32
2,F9,MT,16,0
2,F9,NC,32,13
2,F9,ND,12,8
2,F9,NE,35,4
2,F9,NJ,193,90
2,F9,NV,213,85
2,F9,NY,53,31
2,F9,OH,229,101
2,F9,OK,22,6
2,F9,OR,40,12
2,F9,PA,121,37
2,F9,SD,16,8
2,F9,TN,43,9
2,F9,TX,232,58
2,F9,UT,127,37
2,F9,VA,260,98
2,F9,WA,36,13
2,F9,WI,102,21
2,HA,AS,8,2
2,HA,AZ,28,2
2,HA,CA,336,25
2,HA,HI,5232,505
2,HA,NV,68,6
2,HA,NY,20,3
2,HA,OR,28,3
2,HA,WA,56,5
2,MQ,AL,244,55
2,MQ,AR,674,192
2,MQ,CA,26,4
2,MQ,CO,147,44
2,MQ,CT,24,11
2,MQ,FL,1200,258
2,MQ,GA,202,56
2,MQ,IA,574,208
2,MQ,IL,4927,2026
2,MQ,IN,397,137
2,MQ,KS,154,28
2,MQ,KY,594,188
2,MQ,LA,407,89
2,MQ,MD,54,28
2,MQ,MI,736,275
2,MQ,MN,148,51
2,MQ,MO,552,151
2,MQ,MS,231,55
2,MQ,NC,396,132
2,MQ,ND,137,45
2,MQ,NE,92,36
2,MQ,NM,137,35
2,MQ,NY,1567,579
2,MQ,OH,738,254
2,MQ,OK,229,81
2,MQ,PA,86,31
2,MQ,SC,217,48
2,MQ,SD,108,41
2,MQ,TN,535,189
2,MQ,TX,6783,1672
2,MQ,VA,292,86
2,MQ,WI,445,111
